sync,sensor,modality,points,timestamp_ns,annotation_timestamp_ns,offset_ms,max_planar_range_m,points_ge_100m,points_ge_150m,points_ge_200m,points_ge_250m,points_ge_300m,points_ge_400m
61,conti542/joint_radars/detections,radar,2272,3091885824,3102132486,-10.246662,323.90555283281793,477,165,28,8,5,0
61,aeva/joint_lidars/points,lidar,677231,3129929984,3102132486,27.797498,284.37215487937914,26177,634,41,7,0,0
61,ouster/forward_center/points,lidar,55814,3104714240,3102132486,2.581754,149.23309372494757,44,0,0,0,0,0
61,ouster/sideward_left/points,lidar,49046,3100768000,3102132486,-1.364486,183.1272332077832,13,2,0,0,0,0
61,ouster/sideward_right/points,lidar,57653,3099924224,3102132486,-2.208262,110.88635624291196,4,0,0,0,0,0
71,conti542/joint_radars/detections,radar,2395,3591341568,3602108636,-10.767068,327.5010253580277,514,220,39,8,4,0
71,aeva/joint_lidars/points,lidar,678761,3629913600,3602108636,27.804964,285.47478307128796,25044,749,39,10,0,0
71,ouster/forward_center/points,lidar,54589,3604651008,3602108636,2.542372,148.85121761863792,30,0,0,0,0,0
71,ouster/sideward_left/points,lidar,48615,3600899840,3602108636,-1.208796,183.44379439600732,6,1,0,0,0,0
71,ouster/sideward_right/points,lidar,57978,3600083200,3602108636,-2.025436,76.22413883171929,0,0,0,0,0,0
81,conti542/joint_radars/detections,radar,2475,4092192512,4102093936,-9.901424,327.7079847634778,535,227,37,11,7,0
81,aeva/joint_lidars/points,lidar,667018,4129905152,4102093936,27.811216,285.1324589425496,25224,1430,32,4,0,0
81,ouster/forward_center/points,lidar,52913,4104708096,4102093936,2.61416,151.15985113794733,29,1,0,0,0,0
81,ouster/sideward_left/points,lidar,47756,4100922880,4102093936,-1.171056,105.16905194800837,1,0,0,0,0,0
81,ouster/sideward_right/points,lidar,57627,4099905280,4102093936,-2.188656,473.1069784064553,1,1,1,1,1,1
91,conti542/joint_radars/detections,radar,2524,4591681792,4602069886,-10.388094,327.7180475702272,556,202,36,7,6,0
91,aeva/joint_lidars/points,lidar,681672,4629916928,4602069886,27.847042,255.4203177441659,11784,705,28,28,0,0
