sync,sensor,modality,points,timestamp_ns,annotation_timestamp_ns,offset_ms,max_planar_range_m,points_ge_100m,points_ge_150m,points_ge_200m,points_ge_250m,points_ge_300m,points_ge_400m
62,conti542/joint_radars/detections,radar,2992,3189051418,3200111425,-11.060007,327.9732683188179,347,106,69,53,40,0
62,aeva/joint_lidars/points,lidar,385334,3227986202,3200111425,27.874777,356.52102147807665,53088,10303,2510,1410,107,0
62,ouster/forward_center/points,lidar,38111,3202523162,3200111425,2.411737,192.78045647842168,47,2,0,0,0,0
62,ouster/sideward_left/points,lidar,46228,3198871578,3200111425,-1.239847,155.90543001539072,8,2,0,0,0,0
62,ouster/sideward_right/points,lidar,46273,3197718810,3200111425,-2.392615,124.59949101774392,5,0,0,0,0,0
72,conti542/joint_radars/detections,radar,3026,3689438234,3700083225,-10.644991,328.01180519652564,328,112,76,63,45,0
72,aeva/joint_lidars/points,lidar,379432,3727978778,3700083225,27.895553,385.04025933276347,50193,8803,2288,1261,163,0
72,ouster/forward_center/points,lidar,38291,3702527258,3700083225,2.444033,212.54115409536166,46,4,1,0,0,0
72,ouster/sideward_left/points,lidar,46032,3698899738,3700083225,-1.183487,186.238260865704,6,6,0,0,0,0
72,ouster/sideward_right/points,lidar,46250,3697516826,3700083225,-2.566399,215.783628774995,7,1,1,0,0,0
82,conti542/joint_radars/detections,radar,3039,4189722138,4200065100,-10.342962,328.03565884014125,307,111,81,62,52,0
82,aeva/joint_lidars/points,lidar,384013,4227994394,4200065100,27.929294,348.9793896425414,49858,12398,3344,1556,986,0
82,ouster/forward_center/points,lidar,37933,4202606106,4200065100,2.541006,193.9186550579012,41,4,0,0,0,0
82,ouster/sideward_left/points,lidar,45837,4198885914,4200065100,-1.179186,205.4632184611019,3,3,1,0,0,0
82,ouster/sideward_right/points,lidar,46212,4197487130,4200065100,-2.57797,217.37654019481838,4,4,1,0,0,0
92,conti542/joint_radars/detections,radar,2984,4689114394,4700036775,-10.922381,328.00713156983505,302,124,91,75,64,0
92,aeva/joint_lidars/points,lidar,376751,4728022298,4700036775,27.985523,349.1539307354327,47140,11061,2848,1284,926,0
92,ouster/forward_center/points,lidar,37536,4702726938,4700036775,2.690163,206.21151478851723,35,2,1,0,0,0
92,ouster/sideward_left/points,lidar,45534,4698850330,4700036775,-1.186445,184.2180477448905,2,1,0,0,0,0
92,ouster/sideward_right/points,lidar,45953,4697426202,4700036775,-2.610573,219.00803217197543,2,2,2,0,0,0
102,conti542/joint_radars/detections,radar,3117,5189374746,5200018475,-10.643729,327.9835915953313,316,111,71,62,37,0
102,aeva/joint_lidars/points,lidar,383133,5228030746,5200018475,28.012271,339.6310876478445,48141,12796,2920,1422,432,0
102,ouster/forward_center/points,lidar,37486,5202922778,5200018475,2.904303,216.0672206800344,26,2,1,0,0,0
102,ouster/sideward_left/points,lidar,45458,5198723866,5200018475,-1.294609,141.64596549373627,2,0,0,0,0,0
102,ouster/sideward_right/points,lidar,46285,5197579034,5200018475,-2.439441,220.48038679238599,6,5,2,0,0,0
114,conti542/joint_radars/detections,radar,3005,5789435162,5800084725,-10.649563,327.9909190179782,317,110,85,67,37,0
114,aeva/joint_lidars/points,lidar,383909,5828051738,5800084725,27.967013,359.0522438041587,48785,11423,3232,1254,280,0
114,ouster/forward_center/points,lidar,41946,5802857242,5800084725,2.772517,119.73867276942498,9,0,0,0,0,0
114,ouster/sideward_left/points,lidar,45778,5798585370,5800084725,-1.499355,140.923149657508,2,0,0,0,0,0
114,ouster/sideward_right/points,lidar,46452,5797957914,5800084725,-2.126811,222.2637419958279,5,4,3,0,0,0
124,conti542/joint_radars/detections,radar,2869,6289703706,6300066375,-10.362669,327.9944406417006,299,106,88,62,38,0
124,aeva/joint_lidars/points,lidar,384334,6328058138,6300066375,27.991763,375.43725623670827,49921,11454,3323,1400,344,0
124,ouster/forward_center/points,lidar,42526,6302513690,6300066375,2.447315,159.24027431404443,19,1,0,0,0,0
124,ouster/sideward_left/points,lidar,46075,6298635290,6300066375,-1.431085,140.29631187971074,1,0,0,0,0,0
124,ouster/sideward_right/points,lidar,46506,6297837338,6300066375,-2.229037,223.83421369293328,7,3,3,0,0,0
134,conti542/joint_radars/detections,radar,2923,6788407066,6800037800,-11.630734,327.99113796406186,294,123,94,43,35,0
134,aeva/joint_lidars/points,lidar,383278,6828054042,6800037800,28.016242,396.0647529540304,47826,10358,3070,460,154,0
134,ouster/forward_center/points,lidar,39414,6802811674,6800037800,2.773874,147.57489374601968,18,0,0,0,0,0
134,ouster/sideward_left/points,lidar,45945,6798798618,6800037800,-1.239182,139.8854126729826,1,0,0,0,0,0
134,ouster/sideward_right/points,lidar,46425,6797655834,6800037800,-2.381966,229.9098777954929,5,2,2,0,0,0
