dataset,variant,margin_m,band_m,category,scene,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent,lidar_unsupported,lidar_missing_percent,radar_unsupported,radar_missing_percent,sparse_cohort
TruckScenes,paired,0,0-25,animal,scene-23160c4bff134cdd86b96ee822b4aca9-14,12,1,1,12,1,1,11,0,0,100.0,8.333333333333332,91.66666666666666,3.3370594140958585,23.233488706701635,100.0,100.0,35.0,55.0,115.5,123.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0,0.0,11,91.66666666666667,True
TruckScenes,paired,0,0-25,human.pedestrian.adult,scene-0044384af3d8494e913fb8b14915239e-3,98,5,1,98,70,70,28,0,0,100.0,71.42857142857143,28.57142857142857,5.028488755220184,24.86407938937694,100.0,98.9795918367347,199.25,339.5,521.75,609.3,100.0,21.428571428571427,0.0,0.0,1.0,2.0,3.0,74.04520917678813,0,0.0,28,28.57142857142857,False
TruckScenes,paired,0,0-25,human.pedestrian.adult,scene-23160c4bff134cdd86b96ee822b4aca9-14,27,2,1,27,24,24,3,0,0,100.0,88.88888888888889,11.111111111111116,15.282847843256596,24.74731634141199,100.0,100.0,100.0,216.0,421.5,510.2000000000001,100.0,40.74074074074074,25.925925925925924,1.0,2.0,4.0,5.400000000000002,88.73626373626374,0,0.0,3,11.111111111111114,True
TruckScenes,paired,0,0-25,human.pedestrian.adult,scene-a6a87db5125846bda72ccfc9931ee153-11,24,4,1,24,12,12,12,0,0,100.0,50.0,50.0,4.010060325968864,24.66054864439426,95.83333333333334,95.83333333333334,65.75,111.5,224.25,331.8,100.0,4.166666666666666,0.0,0.0,0.5,1.0,1.6999999999999993,51.66666666666666,0,0.0,12,50.0,True
TruckScenes,paired,0,0-25,human.pedestrian.adult,scene-b13542304b244af585a646082c57a079-1,37,5,1,35,19,19,16,0,2,94.5945945945946,51.35135135135135,43.24324324324324,21.08917743100998,24.994198490263628,89.1891891891892,78.37837837837837,42.0,94.0,108.0,118.4,98.0952380952381,2.7027027027027026,0.0,0.0,1.0,1.0,2.0,53.714285714285715,2,5.4054054054054035,18,48.64864864864865,False
TruckScenes,paired,0,0-25,human.pedestrian.adult,scene-fb64d203d417452f830ca73efed80c41-11,15,1,1,15,11,11,4,0,0,100.0,73.33333333333333,26.66666666666667,7.960158534157028,23.70893261562662,100.0,100.0,312.0,441.0,716.0,1181.6,100.0,33.33333333333333,6.666666666666667,0.5,2.0,3.0,3.5999999999999996,73.33333333333333,0,0.0,4,26.66666666666667,True
TruckScenes,paired,0,0-25,human.pedestrian.child,scene-23160c4bff134cdd86b96ee822b4aca9-14,14,1,1,14,12,12,2,0,0,100.0,85.71428571428571,14.28571428571429,15.180184985059542,24.651910801555783,100.0,100.0,118.75,303.5,445.25,479.90000000000003,100.0,14.285714285714285,7.142857142857142,1.0,1.5,2.0,2.700000000000001,85.71428571428571,0,0.0,2,14.285714285714292,True
TruckScenes,paired,0,0-25,human.pedestrian.child,scene-a6a87db5125846bda72ccfc9931ee153-11,4,2,1,4,1,1,3,0,0,100.0,25.0,75.0,23.208044922834734,24.27688402797871,75.0,75.0,5.75,8.5,10.25,10.7,100.0,0.0,0.0,0.0,0.0,0.25,0.7000000000000002,25.0,0,0.0,3,75.0,True
TruckScenes,paired,0,0-25,human.pedestrian.construction_worker,scene-6be74229febb4aad9e7ae1a37217b231-4,3,1,1,3,0,0,3,0,0,100.0,0.0,100.0,24.90048337833052,24.943080290251412,100.0,100.0,127.5,141.0,144.5,146.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,100.0,True
TruckScenes,paired,0,0-25,movable_object.barrier,scene-0044384af3d8494e913fb8b14915239e-3,13,1,1,13,3,3,10,0,0,100.0,23.076923076923077,76.92307692307692,7.068668448420652,22.24142367769678,100.0,100.0,59.0,71.0,108.0,283.4000000000001,100.0,0.0,0.0,0.0,0.0,0.0,1.0,23.076923076923077,0,0.0,10,76.92307692307692,True
