sync,sensor,modality,points,timestamp_ns,annotation_timestamp_ns,offset_ms,max_planar_range_m,points_ge_100m,points_ge_150m,points_ge_200m,points_ge_250m,points_ge_300m,points_ge_400m
73,conti542/joint_radars/detections,radar,3008,3661261824,3672143058,-10.881234,327.57131334864636,430,181,89,29,17,0
73,aeva/joint_lidars/points,lidar,329111,3699976448,3672143058,27.83339,396.2618339938463,23657,6166,2208,657,378,0
73,ouster/forward_center/points,lidar,58625,3674979328,3672143058,2.83627,239.66655466286971,48,33,8,0,0,0
73,ouster/sideward_left/points,lidar,56108,3670657280,3672143058,-1.485778,208.62737616975932,16,16,3,0,0,0
73,ouster/sideward_right/points,lidar,54869,3670011136,3672143058,-2.131922,208.28351026037288,20,14,5,0,0,0
83,conti542/joint_radars/detections,radar,2988,4161565184,4172124408,-10.559224,327.58286004600484,411,171,88,52,25,0
83,aeva/joint_lidars/points,lidar,372222,4199993600,4172124408,27.869192,388.8435821406291,24309,5812,1818,504,199,0
83,ouster/forward_center/points,lidar,60299,4175069696,4172124408,2.945288,225.06554541417435,66,30,10,0,0,0
83,ouster/sideward_left/points,lidar,54087,4170698496,4172124408,-1.425912,224.4341758909499,19,16,4,0,0,0
83,ouster/sideward_right/points,lidar,56265,4169977088,4172124408,-2.14732,205.21349010064284,18,15,4,0,0,0
93,conti542/joint_radars/detections,radar,3054,4661639168,4672095858,-10.45669,327.5811305015047,438,165,86,47,26,0
93,aeva/joint_lidars/points,lidar,376625,4700006912,4672095858,27.911054,395.36406002849475,24935,6891,1903,684,257,0
93,ouster/forward_center/points,lidar,59817,4674910464,4672095858,2.814606,236.84654020252765,120,25,11,0,0,0
93,ouster/sideward_left/points,lidar,52742,4670861568,4672095858,-1.23429,209.89920053389883,16,12,4,0,0,0
93,ouster/sideward_right/points,lidar,55496,4669845504,4672095858,-2.250354,202.14523932212424,17,7,3,0,0,0
103,conti542/joint_radars/detections,radar,3040,5161228032,5172077333,-10.849301,327.5915172167892,372,124,60,33,19,0
103,aeva/joint_lidars/points,lidar,357276,5200037120,5172077333,27.959787,396.2931134928695,26487,7216,1788,583,220,0
103,ouster/forward_center/points,lidar,59375,5174964992,5172077333,2.887659,222.26127054642433,236,27,1,0,0,0
103,ouster/sideward_left/points,lidar,51797,5170864640,5172077333,-1.212693,202.21687794023282,31,11,1,0,0,0
103,ouster/sideward_right/points,lidar,55628,5169693440,5172077333,-2.383893,199.13657460261024,19,8,0,0,0,0
115,conti542/joint_radars/detections,radar,2999,5761256448,5772143433,-10.886985,327.5981581790098,365,132,62,39,25,0
115,aeva/joint_lidars/points,lidar,348458,5800065792,5772143433,27.922359,391.98514920657215,30294,6791,1387,447,181,0
115,ouster/forward_center/points,lidar,57948,5774618624,5772143433,2.475191,246.55899648811587,372,29,3,0,0,0
115,ouster/sideward_left/points,lidar,51118,5770685184,5772143433,-1.458249,205.43590211321236,21,15,2,0,0,0
115,ouster/sideward_right/points,lidar,56098,5769530368,5772143433,-2.613065,195.5125944730289,18,10,0,0,0,0
125,conti542/joint_radars/detections,radar,2959,6261500416,6272125008,-10.624592,327.5960071366422,456,184,90,44,22,0
125,aeva/joint_lidars/points,lidar,326310,6300080128,6272125008,27.95512,394.8317737929919,32453,7942,1565,451,102,0
125,ouster/forward_center/points,lidar,57812,6274663168,6272125008,2.53816,232.07923913952254,376,33,2,0,0,0
125,ouster/sideward_left/points,lidar,51569,6270908160,6272125008,-1.216848,234.2431827980696,22,13,3,0,0,0
125,ouster/sideward_right/points,lidar,55996,6269719296,6272125008,-2.405712,231.1756631878849,26,11,2,0,0,0
