sample_token,annotation_token,instance_token,scene,timestamp,category,range_m,azimuth_deg,margin_m,radar_points,lidar_points
62,62:0,TrafficSign:1,scene_28_6,3172103218,TrafficSign,210.51619288635834,174.5384293951966,0.0,0,0
62,62:0,TrafficSign:1,scene_28_6,3172103218,TrafficSign,210.51619288635834,174.5384293951966,0.5,0,0
62,62:3,Vehicle:3,scene_28_6,3172103218,Vehicle-Passenger,14.68203494799104,161.99585417593275,0.0,4,415
62,62:3,Vehicle:3,scene_28_6,3172103218,Vehicle-Passenger,14.68203494799104,161.99585417593275,0.5,6,929
62,62:4,Vehicle:35,scene_28_6,3172103218,Vehicle-Passenger,133.35760686359262,163.6936900972934,0.0,0,12
62,62:4,Vehicle:35,scene_28_6,3172103218,Vehicle-Passenger,133.35760686359262,163.6936900972934,0.5,0,15
62,62:5,Vehicle:36,scene_28_6,3172103218,Vehicle-Trailer,52.36690282949422,135.10837075803647,0.0,6,28
62,62:5,Vehicle:36,scene_28_6,3172103218,Vehicle-Trailer,52.36690282949422,135.10837075803647,0.5,7,104
62,62:6,Vehicle:37,scene_28_6,3172103218,Vehicle-RV,58.12804229484024,140.662812050085,0.0,9,2
62,62:6,Vehicle:37,scene_28_6,3172103218,Vehicle-RV,58.12804229484024,140.662812050085,0.5,28,90
62,62:7,Vehicle:4,scene_28_6,3172103218,Vehicle-Passenger,25.1993308252359,8.781870997002905,0.0,13,293
62,62:7,Vehicle:4,scene_28_6,3172103218,Vehicle-Passenger,25.1993308252359,8.781870997002905,0.5,27,2455
62,62:8,Vehicle:5,scene_28_6,3172103218,Vehicle-Passenger,48.97108279200123,0.04820182073629094,0.0,9,367
62,62:8,Vehicle:5,scene_28_6,3172103218,Vehicle-Passenger,48.97108279200123,0.04820182073629094,0.5,23,2729
62,62:9,Vehicle:6,scene_28_6,3172103218,Vehicle-SemiTruck-Trailer,66.67035579716985,3.4645492249643084,0.0,64,2321
62,62:9,Vehicle:6,scene_28_6,3172103218,Vehicle-SemiTruck-Trailer,66.67035579716985,3.4645492249643084,0.5,76,4200
62,62:10,Vehicle:7,scene_28_6,3172103218,Vehicle-SemiTruck-Cab,76.92220448011413,2.9944365131978623,0.0,14,183
62,62:10,Vehicle:7,scene_28_6,3172103218,Vehicle-SemiTruck-Cab,76.92220448011413,2.9944365131978623,0.5,16,1176
72,72:0,TrafficSign:1,scene_28_6,3672075043,TrafficSign,223.71035875678777,174.7310425280208,0.0,0,0
72,72:0,TrafficSign:1,scene_28_6,3672075043,TrafficSign,223.71035875678777,174.7310425280208,0.5,0,0
72,72:2,Vehicle:11,scene_28_6,3672075043,Vehicle-SemiTruck-Cab,340.8229994266732,5.486375321228097,0.0,0,5
72,72:2,Vehicle:11,scene_28_6,3672075043,Vehicle-SemiTruck-Cab,340.8229994266732,5.486375321228097,0.5,0,5
72,72:4,Vehicle:3,scene_28_6,3672075043,Vehicle-Passenger,12.815529643938882,160.04166176174115,0.0,8,532
72,72:4,Vehicle:3,scene_28_6,3672075043,Vehicle-Passenger,12.815529643938882,160.04166176174115,0.5,9,799
72,72:5,Vehicle:35,scene_28_6,3672075043,Vehicle-Passenger,162.96415623827411,166.63547420883359,0.0,0,24
72,72:5,Vehicle:35,scene_28_6,3672075043,Vehicle-Passenger,162.96415623827411,166.63547420883359,0.5,0,27
72,72:6,Vehicle:36,scene_28_6,3672075043,Vehicle-Trailer,74.46406161517525,149.96099618414164,0.0,2,99
72,72:6,Vehicle:36,scene_28_6,3672075043,Vehicle-Trailer,74.46406161517525,149.96099618414164,0.5,7,158
72,72:7,Vehicle:37,scene_28_6,3672075043,Vehicle-RV,81.08584500827666,152.6733164444591,0.0,4,1
72,72:7,Vehicle:37,scene_28_6,3672075043,Vehicle-RV,81.08584500827666,152.6733164444591,0.5,24,18
72,72:8,Vehicle:4,scene_28_6,3672075043,Vehicle-Passenger,27.291338281592083,8.131180431736103,0.0,8,310
72,72:8,Vehicle:4,scene_28_6,3672075043,Vehicle-Passenger,27.291338281592083,8.131180431736103,0.5,17,2193
