annotation_token,sample_token,range_m,publisher,point_all_six,point_main_two,rigid_all_six,sector_mean_1deg_all_six
9a1237e0e57a4e3ea2728f959e5328cf,3c7fe0a51cdd45da9a49624782c511f1,10.5153833906876,2002,2247,1980,2280,2246
83a9779335314c5c9c2e99f7e9ba1d2f,3c7fe0a51cdd45da9a49624782c511f1,37.60259112326801,66,77,77,84,76
87c2f92140d4404c87ab55dd27bba491,3c7fe0a51cdd45da9a49624782c511f1,32.763190222061596,850,1125,1091,1138,1125
b9776a2c3e0c4f6b9a34a47b91752778,3c7fe0a51cdd45da9a49624782c511f1,13.960245661457916,451,574,493,575,575
99151028e29249ea9b15132932c5d0ba,3c7fe0a51cdd45da9a49624782c511f1,28.41094640519546,635,730,727,729,730
0701dec2a588474fa7d766bd7fe8c3a8,3c7fe0a51cdd45da9a49624782c511f1,41.172274456026344,778,930,907,924,930
ed2b172ec93f4960b7f67635198654cd,3c7fe0a51cdd45da9a49624782c511f1,12.155037944740853,8,6,1,5,6
def2d409a8114621b61ebf2ff9216900,3c7fe0a51cdd45da9a49624782c511f1,18.030563947235038,4088,4486,4201,5421,4497
533e3f6335c04b5b817d89c9f209a1d9,3c7fe0a51cdd45da9a49624782c511f1,19.917445483643593,1397,1530,1491,1544,1529
0bccfa2b786844a893d9721172bec68d,3c7fe0a51cdd45da9a49624782c511f1,43.70662424128938,737,895,873,893,895
293cecd92f60499191df261a1c90db9b,3c7fe0a51cdd45da9a49624782c511f1,12.282214087771635,750,849,791,821,847
a72a1afe51454f08b1fe522aaa86db25,3c7fe0a51cdd45da9a49624782c511f1,64.91659059994898,139,163,163,134,163
2f593ef1137e41c58c806e88e6aa2095,3c7fe0a51cdd45da9a49624782c511f1,5.86397189328532,7591,14884,630,14881,14888
4343a3fc52b04754925c78c59401fd9d,3c7fe0a51cdd45da9a49624782c511f1,31.528061713476202,1513,1710,1648,1680,1711
df2dec8ec2374b48bfc07ad65c7552f1,3c7fe0a51cdd45da9a49624782c511f1,8.358857455867932,2234,2378,2112,2432,2384
0b5d5f51ca1f4bde825624371c056272,3c7fe0a51cdd45da9a49624782c511f1,18.519282249274838,87,87,82,70,87
ddd92347c49f481797f6fe96e9780e3c,3c7fe0a51cdd45da9a49624782c511f1,26.09013055378591,6918,8565,8086,8501,8566
a3436e8ba48a44e3868c7c45a4499ea1,3c7fe0a51cdd45da9a49624782c511f1,11.73915572038115,23203,31509,27507,32403,31554
1100dc06fd0e472cae400785d5e637a1,3c7fe0a51cdd45da9a49624782c511f1,9.959138419016403,537,597,560,592,597
85ed34fc271742efb62750a0bce033e0,3c7fe0a51cdd45da9a49624782c511f1,27.780166666020488,1852,2492,2382,2471,2489
fc41d43123fb427388d1e93312eacfac,3c7fe0a51cdd45da9a49624782c511f1,25.8868289343017,84,110,107,111,110
6ab26dcf010b40eab6dc08e686c8fdad,3c7fe0a51cdd45da9a49624782c511f1,12.66451531294896,2300,2748,2546,2712,2748
a0987f13b0e24216bd12ac218837dc73,3c7fe0a51cdd45da9a49624782c511f1,14.136695389273326,2889,3416,3239,3362,3416
d72f2a4a50de44bc8acecfa416ead77c,3c7fe0a51cdd45da9a49624782c511f1,15.019114723836251,237,260,253,259,259
518f90df8de44b799e8220777f0bb5e4,3c7fe0a51cdd45da9a49624782c511f1,7.069372291432256,1864,1973,1725,2110,1977
43cd832ba87a4782a80e225a8ccac2f6,3c7fe0a51cdd45da9a49624782c511f1,6.804540899022012,1837,1940,1371,1905,1935
962803668a8a43d39a092e63dc8749c4,3c7fe0a51cdd45da9a49624782c511f1,20.593934395396385,2842,3412,3104,3412,3409
219a3ed3ba824453924a291f19cd0c63,3c7fe0a51cdd45da9a49624782c511f1,35.35880500762747,3311,3958,3853,3983,3956
d68ee510e53a4684a175f903250fe306,3c7fe0a51cdd45da9a49624782c511f1,7.911682641840551,1808,2059,1429,2019,2058
1fe3f635a3e04b6cb677fdcd31a042b7,3c7fe0a51cdd45da9a49624782c511f1,39.32776784510838,346,415,397,416,415
